REGION,COUNTRY_NAME,Inequality_in_Education,Percent_of_GDP
Africa,Angola,34.30,29.50
Africa,Benin,43.70,25.90
Africa,"Burkina Faso",39.20,31.60
Africa,Burundi,39.50,32.80
Africa,Cameroon,33.00,16.60
Africa,"Cape Verde",23.70,86.70
Africa,Chad,43.00,25.20
Africa,Comoros,47.60,30.20
Africa,"Cote d'Ivoire",47.40,33.80
Africa,Djibouti,47.00,35.00
Africa,Gabon,23.50,18.70
Africa,Gambia,49.30,55.90
Africa,Ghana,34.90,30.60
Africa,Guinea-Bissau,41.90,14.10
Africa,Kenya,22.90,42.60
Africa,Lesotho,21.90,15.50
Africa,Madagascar,35.00,19.00
Africa,Mali,46.20,27.30
Africa,Mauritius,13.20,124.90
Africa,Mozambique,33.80,32.60
Africa,Namibia,25.00,78.90
Africa,Niger,35.00,19.10
Africa,Nigeria,38.10,23.30
Africa,Rwanda,29.30,19.00
Africa,"Sao Tome and Principe",18.30,23.10
Africa,Senegal,46.50,43.90
Africa,"Sierra Leone",47.30,21.90
Africa,"South Africa",14.30,78.70
Africa,Swaziland,24.10,24.10
Africa,Togo,38.90,43.80
Africa,Uganda,27.90,23.20
Africa,Zambia,21.70,21.80
America,Argentina,6.20,39.20
America,Bahamas,6.30,72.40
America,Belize,15.90,71.90
America,Bolivia,20.00,68.30
America,Brazil,22.00,111.30
America,Chile,7.50,128.00
America,"Costa Rica",11.90,82.80
America,"Dominican Republic",19.10,57.80
America,Ecuador,13.80,38.10
America,"El Salvador",30.30,89.30
America,Guatemala,35.00,40.50
America,Guyana,10.70,60.20
America,Honduras,22.70,58.40
America,Mexico,17.10,55.20
America,Nicaragua,25.70,51.40
America,Panama,12.50,83.30
America,Paraguay,16.70,44.00
America,"Saint Lucia",12.60,74.00
America,Suriname,15.60,48.20
America,Uruguay,7.40,35.30
Arab,Afghanistan,45.40,-2.40
Arab,Algeria,33.70,66.80
Arab,Azerbaijan,3.80,29.50
Arab,Egypt,36.90,99.00
Arab,Kuwait,17.80,92.20
Arab,Pakistan,46.20,53.90
Arab,Qatar,11.40,147.20
Arab,"Saudi Arabia",16.20,39.10
Arab,Tunisia,34.60,96.90
Arab,Turkey,13.50,77.90
Asia,Australia,2.60,177.10
Asia,Bangladesh,37.30,63.70
Asia,Cambodia,27.30,74.40
Asia,China,11.50,215.20
Asia,Indonesia,16.50,47.00
Asia,Kazakhstan,3.20,41.90
Asia,Kyrgyzstan,5.00,20.50
Asia,Maldives,40.00,68.50
Asia,Mongolia,11.90,65.30
Asia,Myanmar,26.90,41.10
Asia,Nepal,40.90,87.10
Asia,"Papua New Guinea",11.50,44.30
Asia,Philippines,11.60,66.30
Asia,Samoa,4.90,78.70
Asia,Singapore,8.20,140.80
Asia,"South Korea",18.50,170.10
Asia,Tajikistan,6.50,15.80
Asia,Thailand,13.30,164.70
Asia,Timor-Leste,44.90,-7.20
Asia,Tonga,4.50,32.60
Asia,Vanuatu,17.50,58.00
Asia,VietNam,17.60,141.80
Europe,Albania,8.50,63.30
Europe,Armenia,2.90,58.20
Europe,Austria,2.60,126.70
Europe,Belarus,3.70,41.90
Europe,Belgium,8.70,135.70
Europe,"Bosnia and Herzegovina",19.80,56.80
Europe,Bulgaria,6.50,55.30
Europe,Croatia,5.00,77.00
Europe,Cyprus,11.70,241.30
Europe,"Czech Republic",1.60,62.10
Europe,Denmark,4.30,200.70
Europe,Estonia,2.30,4.80
Europe,Finland,1.90,120.80
Europe,France,8.60,157.70
Europe,Georgia,2.20,61.50
Europe,Germany,2.70,127.30
Europe,Greece,13.10,116.70
Europe,Hungary,3.20,58.40
Europe,Iceland,2.60,100.20
Europe,Ireland,2.90,84.20
Europe,Italy,10.50,166.20
Europe,Latvia,3.70,76.30
Europe,Lithuania,4.50,13.40
Europe,Luxembourg,9.40,193.50
Europe,Macedonia,10.50,59.80
Europe,Malta,6.90,117.30
Europe,Moldova,7.30,24.30
Europe,Netherlands,5.30,191.90
Europe,Poland,4.70,73.70
Europe,Portugal,16.30,154.10
Europe,Romania,6.30,32.90
Europe,Serbia,8.10,54.20
Europe,Slovakia,1.40,79.20
Europe,Slovenia,2.20,68.10
Europe,Spain,18.60,178.60
Europe,Sweden,3.70,165.10
Europe,Ukraine,3.60,58.70
Europe,"United Kingdom",3.70,167.50
